"numerik_1","numerik_2","tarih"
174,"27,87","8/10/2014"
65,"89,88","30/2/2007"
171,"165,89","28/3/2010"
114,"52,71","7/11/2016"
60,"175,85","13/2/2008"
23,"51,66","9/8/2010"
127,"9,75","27/3/2007"
29,"92,97","25/8/2011"
178,"148,12","7/2/2014"
17,"198,50","2/12/2008"
180,"117,90","15/7/2013"
144,"38,27","8/12/2015"
186,"19,11","7/5/2011"
10,"7,48","24/2/2008"
148,"180,24","10/8/2014"
166,"150,14","30/10/2010"
90,"143,38","17/2/2009"
48,"184,54","13/7/2010"
53,"33,72","14/10/2014"
20,"26,60","8/5/2012"
129,"30,22","10/4/2013"
77,"63,35","15/5/2016"
177,"192,39","28/9/2006"
18,"164,30","30/10/2013"
124,"167,91","8/8/2010"
165,"168,43","14/8/2009"
37,"39,28","23/3/2016"
95,"59,6","22/10/2012"
82,"141,41","17/6/2010"
142,"54,34","5/10/2015"
64,"14,69","1/8/2014"
175,"136,65","23/3/2013"
184,"172,80","14/6/2008"
132,"169,36","15/10/2011"
100,"43,86","23/10/2010"
199,"28,64","6/8/2011"
11,"4,82","6/3/2006"
67,"157,73","31/5/2006"
55,"135,17","21/1/2012"
135,"70,70","13/9/2011"
43,"8,16","12/7/2013"
128,"88,21","28/8/2009"
154,"197,62","26/11/2009"
152,"94,81","31/9/2016"
71,"115,42","2/6/2015"
51,"41,61","24/7/2014"
73,"103,94","15/6/2009"
133,"68,29","2/8/2012"
137,"116,51","4/1/2009"
14,"98,93","16/1/2009"
