iter	MultiClass
0	1.098611307
1	1.098611298
2	1.098610802
3	1.098610133
4	1.098610124
5	1.098609411
6	1.098608699
7	1.098607794
8	1.098606975
9	1.098606316
10	1.09860542
11	1.098604514
12	1.098603763
13	1.098602687
14	1.098601508
15	1.098600525
16	1.098599928
17	1.098599424
18	1.098598495
19	1.098597601
20	1.098597592
21	1.098596819
22	1.098596356
23	1.098596347
24	1.098595761
25	1.098595752
26	1.098595743
27	1.098595197
28	1.098594455
29	1.09859416
30	1.098593287
31	1.098592668
32	1.098592187
33	1.098591751
34	1.098591742
35	1.098590899
36	1.098589943
37	1.098589698
38	1.098589688
39	1.098588968
40	1.098587925
41	1.098587916
42	1.098587273
43	1.098587264
44	1.098587255
45	1.098586409
46	1.098585733
47	1.098585724
48	1.098585165
49	1.098584008
50	1.098583999
51	1.098582978
52	1.098581853
53	1.098581559
54	1.098581161
55	1.098580353
56	1.098579372
57	1.098578794
58	1.098577779
59	1.098577233
60	1.098576646
61	1.098576636
62	1.098575965
63	1.098575132
64	1.098574315
65	1.098573375
66	1.098573366
67	1.098572654
68	1.098572644
69	1.098571967
70	1.098571291
71	1.098570412
72	1.098569631
73	1.098569622
74	1.098569213
75	1.098568574
76	1.098567983
77	1.098567271
78	1.098566615
79	1.098565726
80	1.098564751
81	1.098564742
82	1.098563752
83	1.098562646
84	1.098562068
85	1.098562059
86	1.098561513
87	1.098561504
88	1.09856083
89	1.098560168
90	1.098559104
91	1.098559095
92	1.098558258
93	1.098558248
94	1.098557415
95	1.098556276
96	1.09855538
97	1.098554475
98	1.098553908
99	1.098552949
100	1.098552306
101	1.098551912
102	1.098551903
103	1.098550784
104	1.098550775
105	1.098550766
106	1.098550123
107	1.098550114
108	1.098549223
109	1.098548413
110	1.098547555
111	1.098546877
112	1.098546583
113	1.098545754
114	1.098545217
115	1.098544043
116	1.098543383
117	1.098542829
118	1.09854282
119	1.098542104
120	1.098542095
121	1.098542085
122	1.098541263
123	1.098540829
124	1.09854082
125	1.098540525
126	1.098540516
127	1.098539287
128	1.098538641
129	1.098537608
130	1.098536325
131	1.098536316
132	1.098535408
133	1.098534731
134	1.098534053
135	1.098534044
136	1.098533088
137	1.09853284
138	1.09853283
139	1.098532043
140	1.098531363
141	1.098530817
142	1.098530808
143	1.098530001
144	1.098529707
145	1.098528854
146	1.098528476
147	1.098527433
148	1.098527424
149	1.098526862
150	1.098526852
151	1.098525946
152	1.098525156
153	1.098524519
154	1.098524509
155	1.098523915
156	1.098523872
157	1.09852323
158	1.098522644
159	1.098522181
160	1.098522172
161	1.098521626
162	1.098521057
163	1.098520351
164	1.098519561
165	1.098518752
166	1.098518239
167	1.098518065
168	1.098517262
169	1.098516259
170	1.09851625
171	1.098515664
172	1.098515369
173	1.09851536
174	1.098514396
175	1.09851345
176	1.098513202
177	1.098512172
178	1.09851146
179	1.098510583
180	1.098510574
181	1.098509806
182	1.098509797
183	1.098508952
184	1.098508279
185	1.09850827
186	1.098507577
187	1.098507042
188	1.098506748
189	1.098505894
190	1.098505885
191	1.098505347
192	1.098505338
193	1.098504519
194	1.098503466
195	1.098502992
196	1.098502024
197	1.09850087
198	1.098500434
199	1.098500424
200	1.098499657
201	1.098498911
202	1.098497818
203	1.098497012
204	1.098496524
205	1.098496515
206	1.098496505
207	1.098496112
208	1.098495247
209	1.098494122
210	1.0984931
211	1.098492356
212	1.098491149
213	1.09849114
214	1.098490662
215	1.098490652
216	1.098489622
217	1.098488942
218	1.098487764
