iter	Passed	Remaining
0	2	2343
1	3	1935
2	5	1907
3	10	2515
4	12	2446
5	14	2399
6	16	2290
7	17	2184
8	19	2175
9	21	2109
10	25	2328
11	27	2255
12	29	2222
13	31	2237
14	33	2210
15	35	2205
16	38	2248
17	40	2235
18	43	2242
19	47	2304
20	48	2258
21	49	2215
22	52	2243
23	55	2245
24	57	2236
25	60	2256
26	62	2268
27	64	2234
28	66	2239
29	68	2222
30	70	2215
31	74	2258
32	79	2330
33	81	2320
34	83	2312
35	85	2287
36	87	2276
37	91	2319
38	93	2302
39	95	2286
40	98	2313
41	100	2293
42	103	2302
43	105	2289
44	106	2267
45	108	2247
46	109	2225
47	111	2208
48	112	2188
49	115	2198
50	117	2185
51	120	2205
52	123	2201
53	124	2185
54	126	2173
55	127	2142
56	127	2114
57	129	2099
58	131	2091
59	132	2082
60	135	2086
61	137	2083
62	139	2074
63	140	2060
64	142	2051
65	145	2052
66	147	2051
67	149	2044
68	151	2044
69	154	2050
70	156	2047
71	160	2062
72	161	2052
73	163	2040
74	164	2033
75	169	2062
76	172	2062
77	173	2051
78	175	2042
79	176	2031
80	178	2023
81	179	2013
82	181	2002
83	183	2000
84	185	1994
85	189	2014
86	191	2005
87	194	2013
88	196	2009
89	197	1998
90	200	2000
91	202	1995
92	204	1994
93	206	1990
94	209	1998
95	211	1988
96	212	1982
97	216	1994
98	218	1988
99	221	1993
100	224	1997
101	226	1994
102	228	1990
103	230	1987
104	232	1982
105	234	1973
106	235	1964
107	237	1962
108	239	1956
109	240	1948
110	242	1945
111	246	1953
112	248	1949
113	251	1958
114	254	1958
115	256	1953
116	259	1955
117	260	1947
118	265	1962
119	267	1958
120	268	1951
121	270	1947
122	273	1950
123	275	1943
124	277	1940
125	278	1934
126	280	1930
127	282	1923
128	284	1920
129	286	1914
130	287	1909
131	289	1905
132	293	1912
133	295	1906
134	297	1903
135	300	1907
136	301	1901
137	303	1897
138	305	1890
139	306	1883
140	308	1881
141	310	1876
142	314	1883
143	316	1879
144	317	1874
145	319	1869
146	321	1867
147	323	1861
148	324	1855
149	326	1848
150	329	1854
151	331	1852
152	333	1847
153	335	1840
154	336	1834
155	338	1829
156	340	1827
157	342	1823
158	343	1817
159	345	1812
160	346	1806
161	348	1800
162	350	1798
163	353	1803
164	356	1804
165	358	1799
166	359	1795
167	361	1788
168	364	1791
169	366	1790
170	368	1787
171	370	1785
172	373	1787
173	376	1787
174	379	1787
175	381	1787
176	385	1791
177	386	1786
178	388	1781
179	389	1775
180	392	1775
181	395	1775
182	397	1774
183	399	1772
184	401	1767
185	402	1761
186	405	1761
187	407	1758
188	409	1757
189	411	1755
190	413	1749
191	415	1747
192	417	1745
193	419	1743
194	422	1742
195	423	1737
196	427	1741
197	431	1747
198	433	1744
199	435	1741
200	437	1738
201	438	1733
202	440	1729
203	442	1726
204	443	1721
205	446	1722
206	448	1717
207	450	1713
208	452	1711
209	454	1708
210	456	1708
211	460	1711
212	462	1709
213	465	1708
214	467	1705
215	468	1700
216	470	1696
217	473	1698
218	475	1694
219	477	1694
220	480	1693
221	481	1688
222	485	1691
223	487	1687
224	488	1682
225	492	1685
226	493	1681
227	495	1677
228	499	1680
229	500	1677
230	504	1680
231	507	1680
232	509	1675
233	511	1673
234	513	1672
235	515	1670
236	518	1670
237	521	1670
238	523	1666
239	524	1662
240	526	1658
241	528	1654
242	533	1660
243	536	1661
244	537	1656
245	542	1662
246	545	1661
247	547	1660
248	551	1662
249	553	1659
250	554	1655
251	555	1650
252	559	1652
253	561	1647
254	563	1646
255	566	1645
256	570	1649
257	572	1645
258	574	1643
259	576	1639
260	580	1643
261	582	1640
262	585	1639
263	589	1642
264	590	1638
265	592	1636
266	594	1633
267	596	1629
268	598	1627
269	600	1624
270	603	1622
271	606	1622
272	607	1619
273	609	1614
274	610	1610
275	612	1606
276	613	1601
277	616	1601
278	618	1598
279	619	1594
280	622	1592
281	626	1596
282	628	1593
283	630	1590
284	632	1586
285	633	1582
286	636	1581
287	638	1577
288	639	1573
289	640	1569
290	643	1568
291	646	1567
292	648	1563
293	650	1561
294	652	1558
295	653	1554
296	655	1551
297	657	1548
298	658	1544
299	660	1540
300	662	1538
301	664	1535
302	666	1533
303	668	1531
304	670	1528
305	672	1525
306	674	1523
307	677	1521
308	679	1520
309	681	1516
310	685	1518
311	689	1520
312	690	1516
313	693	1515
314	696	1514
315	700	1516
316	702	1512
317	704	1509
318	705	1505
319	706	1501
320	709	1500
321	710	1496
322	712	1494
323	714	1491
324	717	1489
325	719	1486
326	721	1484
327	724	1483
328	728	1484
329	729	1480
330	731	1478
331	733	1476
332	737	1477
333	738	1473
334	740	1470
335	743	1468
336	745	1466
337	747	1463
338	749	1462
339	751	1458
340	752	1454
341	756	1455
342	758	1452
343	761	1451
344	763	1449
345	766	1447
346	767	1444
347	769	1441
348	771	1440
349	773	1436
350	774	1432
351	776	1429
352	780	1429
353	782	1427
354	783	1423
355	786	1421
356	788	1419
357	789	1415
358	791	1413
359	792	1409
360	794	1406
361	796	1403
362	799	1402
363	803	1404
364	807	1404
365	808	1401
366	811	1399
367	813	1397
368	816	1395
369	817	1392
370	819	1389
371	821	1387
372	823	1384
373	826	1383
374	828	1380
375	830	1378
376	831	1374
377	834	1372
378	835	1369
379	837	1366
380	841	1366
381	843	1364
382	845	1362
383	848	1360
384	850	1357
385	852	1356
386	857	1357
387	859	1355
388	861	1352
389	862	1349
390	864	1346
391	867	1344
392	868	1341
393	869	1337
394	870	1333
395	873	1333
396	876	1330
397	878	1328
398	879	1325
399	881	1322
400	884	1320
401	886	1318
402	890	1318
403	892	1317
404	894	1314
405	896	1311
406	899	1310
407	901	1308
408	903	1305
409	905	1302
410	906	1299
411	908	1296
412	909	1293
413	911	1289
414	913	1287
415	915	1285
416	917	1282
417	918	1279
418	920	1276
419	922	1273
420	923	1270
421	926	1268
422	927	1265
423	930	1263
424	934	1264
425	936	1261
426	937	1258
427	939	1255
428	941	1252
429	942	1249
430	944	1246
431	948	1247
432	950	1244
433	951	1240
