"numerik_1";"numerik_2";"tarih"
2;"4,11";"2/23/2007"
139;"56,4";"6/5/2006"
109;"25,38";"8/9/2007"
120;"182,7";"2/6/2014"
164;"49,47";"3/17/2009"
92;"82,94";"10/15/2014"
45;"124,64";"9/25/2008"
148;"193,88";"1/15/2009"
149;"24,3";"4/2/2011"
84;"21,69";"11/9/2007"
144;"23,46";"3/27/2006"
87;"199,74";"12/22/2016"
21;"164,20";"6/25/2011"
175;"147,67";"11/1/2016"
14;"29,49";"6/8/2014"
129;"104,31";"5/10/2009"
195;"46,17";"2/24/2016"
179;"189,22";"12/4/2008"
79;"148,78";"1/19/2014"
104;"186,96";"2/3/2015"
100;"52,6";"5/21/2010"
156;"44,21";"12/9/2006"
61;"175,12";"5/11/2012"
163;"18,30";"11/19/2008"
95;"32,28";"5/18/2011"
186;"7,8";"12/2/2016"
138;"28,59";"6/6/2007"
200;"157,19";"3/20/2016"
150;"121,95";"12/19/2012"
5;"41,63";"5/4/2009"
153;"45,32";"9/7/2016"
97;"145,97";"11/9/2011"
113;"138,10";"12/15/2010"
147;"77,18";"2/28/2006"
188;"6,66";"1/13/2013"
137;"14,76";"9/17/2015"
178;"84,99";"4/1/2012"
101;"177,13";"1/22/2013"
88;"116,89";"2/1/2015"
75;"110,1";"3/5/2013"
154;"103,52";"4/22/2011"
134;"95,73";"4/28/2011"
165;"129,23";"8/4/2010"
187;"42,25";"3/21/2014"
44;"79,35";"12/27/2007"
83;"112,14";"3/19/2013"
112;"39,51";"5/19/2008"
24;"106,72";"4/26/2015"
196;"200,16";"3/19/2016"
13;"92,55";"7/21/2010"
