gtip_kodu,gtip_tanimi
152000001000,Ham gliserol
270730000000,Ksilol (ksilen)
280110000000,Klor
280300009011,İskarası
280300009019,Diğer karbon karaları ve diğer şekillerde karbon
280410000000,Hidrojen
280429100000,Helyum (Asal gaz)
280469000000,"Silisyum (ağırlık itibariyle < % 99, 99 silisyum içerenler)"
280480000000,Arsenik
280700000019,Diğer sülfirik asit
280920000017,Orto fosforik asitler (fosforik asit ); gıda sanayii dışında kullanılanlar
281410000000,Saf amonyak
281511000000,Sodyum hidroksit (kostik soda) katı halde
281512000000,Sodyum hidroksit (kostik soda) sıvı çözeltileri
281520000000,Potasyum hidroksit (kostik potas)
281830000000,Alüminyum hidroksit
282200000011,Kobalt oksitleri
282200000012,Ticari kobalt oksitleri
282200000013,Kobalt hidroksitleri
282520000000,Lityum oksit ve hidroksit
282580000000,Antimuan oksitleri
282690801000,Potasyum florborat ve potasyumun diğer kompleks flor tuzları
282690809012,Sodyum florborat ve sodyumun diğer kompleks flor tuzları
282690809019,Diğer kompleks flor tuzları
282759002000,Diğer bromürler
283421000000,Potasyum nitrat
283524000000,Potasyum fosfat
283650000000,Kalsiyum karbonat
283691000000,Lityum karbonatlar
283699901000,Sodyum perkarbonatlar
283711000011,Sodyum siyanürler
284210000000,Kompleks/çift silikatlar
284390902011,Platin tuzları
284390902015,Radyum tuzları
284390909000,Kıymetli metallerin diğer bileşikleri
284440200012,Radyoaktif fosfor
284440200014,Radyoaktif kobalt
290124000000,"1,3 - Butadien ve izopren"
290211000000,Siklohekzan
290220000000,Benzen (benzol)
290230000000,Tolüen (toluol)
290243000000,p; ksilen
290250000000,Stiren (vinil benzen)
290270000000,Kümen (izopropil benzen)
290321000000,Vinil klorür (kloretilen) doymamış
290339260000,"1,1,1,2 - tetrafloretan (HFC-134-a)"
290339310000,"2,3,3,3 - Tetraflorpropen"
290420000012,Nitrobenzen
290511001011,Saf metil alkol (dökme olanlar)
290512000012,İzopropil alkol
290516850019,Oktanol (oktil alkol) ve izomerleri; diğer
290531000000,Dioller-etilen glikol (etandiol)
290532000000,"Propilen glikol (1, 2-propandiol)"
290545000000,Gliserin
290549009010,Ksilitol
290711001000,"Fenol (hidroksibenzen, fenik asit)"
290723000011,"4, 4'- İzopropilidendifenol"
290729008019,Diğer polifenoller ve tuzları
290919900013,Metil tersiyer bütil eter (MTBE)
290941000000,"Dietilen glikol (2, 2'-oksidietanol) (digol)"
290949809019,Asiklik eter alkoller ve türevleri; diğer
291010000000,Etilen oksit (oksiran)
291020000000,Propilen oksit (metiloksiran)
291411000000,Aseton (propanon)
291521000011,Glasiyel asetikasit (buzlu asetikasit)
291521000012,Ticari asetik asit
291531000000,Etil asetat
291532000000,Vinil asetat
291590700049,"Diğer doymuş asiklik monokarboksilik asitler,bunların halojenlenmiş,sülfolanmış,nitrolanmış veya nitrozolanmış türevleri"
