1,01/05/2020 - 510658,SCORE SPORT SPOR MALZEMELERÝ ÝTHALAT ÝHRACAT SANAYÝ VE TÝCARET LÝMÝTED ÞÝRKETÝ,TOKAT,Yerli Sermaye,ÝMALAT - SPOR MALZEMELERÝ ÝMALATI,TEVSÝ,BÖLGESEL,"Sigorta Primi Ýþveren Hissesi 7 Yýl, Vergi Ýndirimi %80, YKO %40, Gümrük Vergisi Muafiyeti, KDV Ýstisnasý, Faiz Desteði",PLASTÝK TOP ÜRETÝMÝ 12.467.680 ADET/YIL,2.174.990,300.000,10
2,01/05/2020 - 510659,MEHMET SAVAÞ,MUÐLA,Yerli Sermaye,ÝMALAT - MOBÝLYA ÝMALATI,TEVSÝ,GENEL,KDV Ýstisnasý,"Mutfak Dolabý 2.400 ADET/YIL, Banyo Dolabý 3.300 ADET/YIL, Yüklük Dolabý 3.425 ADET/YIL, Masif Kapý ve Kapý Kasasý 7.800 ADET/YIL",1.904.000,0,15
3,01/05/2020 - 510660,HEKTAÞ TÝCARET TÜRK ANONÝM ÞÝRKETÝ,BURSA,Yerli Sermaye,"TARIM - SEBZE, BAHÇE VE KÜLTÜR BÝTKÝLERÝ ÝLE FÝDANLIK ÜRÜNLERÝNÝN YETÝÞTÝRÝLMESÝ",KOMPLE YENÝ YATIRIM,BÖLGESEL - ÖNCELÝKLÝ YATIRIM,"Sigorta Primi Ýþveren Hissesi 7 Yýl, Vergi Ýndirimi %80, YKO %40, Faiz Desteði, KDV Ýstisnasý",Otomasyona dayalý serada bitkisel yetiþtiricilik 32.544 M2,13.075.700,0,33
4,01/05/2020 - 510661,PÝR NAKIÞ SANAYÝ VE TÝCARET LÝMÝTED ÞÝRKETÝ,ÝZMÝR,Yerli Sermaye,ÝMALAT - TIBBÝ VE CERRAHÝ TEÇHÝZAT ÝLE ORTOPEDÝK ARAÇLARIN ÝMALATI,KOMPLE YENÝ YATIRIM,BÖLGESEL - ÖNCELÝKLÝ YATIRIM,"Sigorta Primi Ýþveren Hissesi 7 Yýl, Vergi Ýndirimi %80, YKO %40, Gümrük Vergisi Muafiyeti, Faiz Desteði, KDV Ýstisnasý",týbbi ve cerrahi maske 20.000.000 ADET/YIL,1.701.889,150.000,10
5,01/05/2020 - 510662,ERYA PLASTÝK SANAYÝ VE TÝCARET LÝMÝTED ÞÝRKETÝ,TEKÝRDAÐ,Yerli Sermaye,ÝMALAT - PLASTÝK ÜRÜNLERÝ ÝMALATI,TEVSÝ,GENEL,"Gümrük Vergisi Muafiyeti, KDV Ýstisnasý","Plastikten damacana, þiþe, matara ve benzeri eþyalar 937.152 KG/YIL",5.259.047,714.780,7
6,01/05/2020 - 510663,ÝDRÝS BALTU TURUÇGÝLLERÝN YETÝÞTÝRÝLMESÝ VE MUZ ÜRETÝMÝ TÝCARET,ADANA,Yerli Sermaye,"TARIM - SEBZE, BAHÇE VE KÜLTÜR BÝTKÝLERÝ ÝLE FÝDANLIK ÜRÜNLERÝNÝN YETÝÞTÝRÝLMESÝ",KOMPLE YENÝ YATIRIM,BÖLGESEL,"Sigorta Primi Ýþveren Hissesi 3 Yýl, Vergi Ýndirimi %55, YKO %20, KDV Ýstisnasý",Serada bitkisel yetiþtiricilik { muz } 64.680 M2,9.897.322,0,15
7,01/05/2020 - 510664,KALAYLI METAL PROFÝL SÜNGER TEKSTÝL ÝNÞAAT VE TAAHHÜT OTOMOTÝV SANAYÝ VE TÝCARET LÝMÝTED ÞÝRKETÝ,ÝZMÝR,Yerli Sermaye,ÝMALAT - BAÞKA YERDE SINIFLANDIRILMAMIÞ TEKSTÝL ÜRÜNLERÝ ÝMALATI,KOMPLE YENÝ YATIRIM,GENEL,"Gümrük Vergisi Muafiyeti, KDV Ýstisnasý","1729.1.01 - Giyim eþyasý hariç, dokuma olmayan kumaþ ile bundan yapýlan ürünler TEK KULLANIMLIK MASKE {Nonwoven Polipropilen Tela Kumaþtan} 60.000.000 ADET/YIL",1.268.956,120.000,25
8,01/05/2020 - 510665,ORHAN ÖZSARI MERMER SANAYÝ VE TÝCARET ANONÝM ÞÝRKETÝ,AFYONKARAHÝSAR,Yerli Sermaye,"MADENCÝLÝK - KUM, KÝL VE TAÞOCAKÇILIÐI",TEVSÝ,BÖLGESEL - ÖNCELÝKLÝ YATIRIM,"Sigorta Primi Ýþveren Hissesi 7 Yýl, Vergi Ýndirimi %80, YKO %40, KDV Ýstisnasý, Faiz Desteði",Mermer Levha 180.000 M2/YIL,1.598.000,0,5
9,01/05/2020 - 510666,HASAN GÜNDOÐDU GÜNDOÐDU MÜHENDÝSLÝK VE ÝNÞAAT,BATMAN,Yerli Sermaye,"MADENCÝLÝK - KUM, KÝL VE TAÞOCAKÇILIÐI",KOMPLE YENÝ YATIRIM,BÖLGESEL,"Sigorta Primi Ýþveren Hissesi 10 Yýl, Gelir Vergisi Stopajý Desteði 10 Yýl, Sigorta Primi Desteði 10 Yýl, Vergi Ýndirimi %90, YKO %50, KDV Ýstisnasý, Faiz Desteði",1410.1.01 - Mermer Levha 150.000 M2/YIL,3.550.000,0,20
10,01/05/2020 - 510667,GÜL-PA ÝNÞAAT GIDA NAKLÝYAT MADENCÝLÝK TAAHHÜT SANAYÝ TÝCARET ÝTHALAT ÝHRACAT LÝMÝTED ÞÝRKETÝ,DÝYARBAKIR,Yerli Sermaye,ÝMALAT - METAL YAPI MALZEMELERÝ ÝMALATI,"TEVSÝ, ÜRÜN ÇEÞÝTLENDÝRME",BÖLGESEL - ALT BÖLGE,"Sigorta Primi Ýþveren Hissesi 12 Yýl, Gelir Vergisi Stopajý Desteði 10 Yýl, Sigorta Primi Desteði 10 Yýl, Vergi Ýndirimi %90, YKO %55, KDV Ýstisnasý, Faiz Desteði","2720.2.04 - Alüminyumdan profil ve çubukllar ALÜMÝNYUM KÖÞE PROFÝLÝ 648.000 KG/YIL, 2720.2.04 - Alüminyumdan profil ve çubuklar ALÜMÝNYUM DUVAR DC PROFÝLÝ 2.620.000 KG/YIL, 2720.2.04 - Alüminyumdan profil ve çubuklar ALÜMÝNYUM TAVAN TU PROFÝLLERÝ 1.572.000 KG/YIL, 2720.2.04 - Alüminyumdan profil ve çubuklar ALÜMÝNYUM T24 PROFÝLÝ 1.500.000 KG/YIL, 2720.2.04 - Alüminyumdan profil ve çubuklar KAROPAN ALÜMÝNYUM PROFÝL 1.500.000 KG/YIL, 2811.1.05 - Metal yapý malzemeleri ve imalatý",6.640.000,0,20
11,03/05/2020 - 510668,TETÝKOÐLU MERMER MADENCÝLÝK SANAYÝ TÝCARET LÝMÝTED ÞÝRKETÝ,AFYONKARAHÝSAR,Yerli Sermaye,"MADENCÝLÝK - KUM, KÝL VE TAÞOCAKÇILIÐI",TEVSÝ,BÖLGESEL - ÖNCELÝKLÝ YATIRIM,"Sigorta Primi Ýþveren Hissesi 7 Yýl, Vergi Ýndirimi %80, YKO %40, KDV Ýstisnasý, Faiz Desteði",1410.1.01 - Mermer Levha 210.000 M2/YIL,3.230.000,0,10
